"country","SFTGcode","COW","risk_in_2019","risk_in_2019_20","anymk.ongoing","anymk.ever","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage.ln","popsize.ln.combined","imr.sqrt","gdppcgrowth.combined","ios.iccpr1","includesnonstate","durable.ln","minorityrule","elf.ethnic","battledeaths.ln","candidaterestriction","partyban","judicialreform","religiousfreedom","pol_killing_approved","freemove_men4","freemove_women4","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","tradeshare.ln.combined","coup.try.5yr","polity2.fl.2","polity2.fl.3"
"Benin","BEN",434,0.004005,0.004595,0,0,1,0,0,0,0,4.07753744390572,16.2681265449833,7.77817459305202,0.0498412364272788,1,1,3.3322045101752,0,0.79,0,1,4,1,4,0,1,1,0.961,0,1,0,0,0.988,-1.95700511203398,0,0,1
"Canada","CAN",20,0.003869,0.004872,0,0,0,0,0,0,0,5.02388052084628,17.4246974218414,2.07364413533277,0.00880354799506621,1,1,4.87519732320115,0,0.71,0,1,4,1,4,0,1,1,0.916,0,0,0,1,1.453,-2.16774635996595,0,0,1
"Bosnia and Herzegovina","BOS",346,0.003665,0.004841,0,1,0,0,1,0,0,3.29583686600433,15.0794783991717,2.23606797749979,0.018590831291562,1,1,0,0,0.63,0,1,4,1,4,0,1,1,0.638,0,0,0,1,0.79,-1.72452119018484,0,0,0
"Qatar","QAT",694,0.003633,0.005848,0,0,0,0,0,1,0,3.87120101090789,14.9149972384114,2.40831891575846,0.005120325050368,0,1,3.87120101090789,1,0.75,0,0,1,1,1,0,0,0,0.203,1,1,0,1,-1.561,-1.85970827843037,0,0,0
"Namibia","NAM",565,0.003238,0.003347,0,0,1,0,0,0,0,3.36729582998647,14.7985423257607,5.3851648071345,-0.00729394427967627,1,1,3.36729582998647,0,0.63,0,1,4,1,4,0,1,1,0.827,0,0,0,1,0.755,-1.90183065371727,0,0,1
"Singapore","SIN",830,0.003236,0.002854,0,0,0,1,0,0,0,3.98898404656427,15.5786935658944,1.51657508881031,0.0191951727485558,0,1,3.98898404656427,1,0.39,0,1,3,1,3,0,1,1,0.628,0,1,0,1,0.452,-0.398981784169931,0,1,0
"Honduras","HON",91,0.003215,0.002974,0,0,0,0,0,0,0,5.19849703126583,16.0917729658161,3.88587184554509,0.0241904692079291,1,1,3.61091791264422,0,0.19,0,1,4,1,4,0,1,1,0.729,0,0,0,1,-0.734,-1.68129119105958,0,0,1
"Serbia","SRB",345,0.003152,0.003343,0,0,0,0,1,0,0,2.56494935746154,15.7841464604467,2.19089023002066,0.0287743763362411,1,1,2.56494935746154,0,0.57,0,1,4,1,4,0,1,1,0.711,0,0,0,1,0.917,-1.59750980109693,0,0,1
"Lebanon","LEB",660,0.003143,0.004661,0,0,0,0,0,1,0,4.33073334028633,15.7655661351911,2.5298221281347,-0.00503029196800771,0,1,2.63905732961526,0,0.13,0,1,4,1,3,0,1,0,0.692,0,0,0,1,-0.321,-2.21582573034855,0,0,1
"Paraguay","PAR",150,0.003109,0.002401,0,0,0,0,0,0,0,5.33753807970132,15.7805437704956,4.14728827066554,0.0233023895419222,1,1,3.29583686600433,1,0.17,0,1,4,1,4,0,1,1,0.807,1,0,0,1,0.215,-2.10192210159747,0,0,1
"Lesotho","LES",570,0.003061,0.002608,0,0,1,0,0,0,0,3.97029191355212,14.6638799493716,8.10555365166378,0.00546381882402634,1,1,2.83321334405622,0,0.26,0,1,4,1,4,0,1,0,0.723,0,1,0,0,0.908,-1.49376483977957,1,0,1
"Germany","GER",255,0.003046,0.002994,0,0,0,0,1,0,0,3.36729582998647,18.2264284225106,1.7606816861659,0.00506803639960253,1,1,3.36729582998647,0,0.17,0,1,4,1,4,0,1,1,0.967,0,1,0,0,1.845,-1.85647314840763,0,0,1
